id,comment,task1,task2,task3
2501,Yo soy aromático y el panadero pansexual💀,Non Support,No,No
1157,"Jssjjajas soy pan pero mis padres quieren que sea hetero :""D",Non Support,No,No
2819,claro la religion gana porque DIOS es vida fuerza y  fortaleza asi que para la loca safada agatha DIOS existe,Support,Group,Religion
963,Con el respeto que se merecen solo tiene que haber dos géneros lo demás es distorcionar la realidad,Non Support,No,No
584,"Ahora veo que la cuestión del género es más cosa como de personalidad y costumbres, ¿no?... Yo creía que era hetero pero ahora resulta que soy Ginosexual.",Support,Group,LGBTQ
614,Yo soy un procesador intel i3 🗿👌,Non Support,No,No
2624,"Vivo en la ciudad de Nueva York y ahora entiendo lo que pasa en Europa, Nueva York es más justo el gobierno americano podrán decir lo que quieran  de USA pero en Estados Unidos de America existe la igualdad  es una realidad.",Non Support,No,No
197,Para nosotros eres oro Haidde,Support,Individual,No
2167,Y yo me llamo Mercedes,Non Support,No,No
2692,No es color de la piel es la actitud ante la vida,Non Support,No,No
982,ame el : en mis tiempos a eso se le llamaba querer a alguien jsjs,Non Support,No,No
2600,".. El pensamiento de la mexicana... Quien diría que extranjera, mamitaa.... La frase de ""no quieren quitarse el velo"" es genial, jajjaja",Non Support,No,No
2900,yo estudie una ingeniería siendo cristiana y no la termine porque no quise y ahora estudio medicina veterinaria y no me causa ningún conflicto,Non Support,No,No
15,Muchas gracias  claro sports por traernos a estos verdaderos heroes,Support,Group,Other
1205,Soy Asexual 😁,Non Support,No,No
2236,Podrán hablar de mi Serie Favorita Mazinger Z,Non Support,No,No
381,"Con tantas divisiones y etiquetas, pues ya ni se 😅... jajaja...
Digamos que soy un ser vivo que vino a amar y ser amado ❤
¡ Viva la Diversidad !",Non Support,No,No
2856,Man podes hablar acerca de la evolucion osea aspecto cientifico y religioso,Non Support,No,No
2571,"wow,cuantas enfermedades,espero se curen pronto.Debe ser muy dificil vivir con una enfermedad como esa 💔",Non Support,No,No
1919,"Solo existen dos géneros



Es humor banda, pero si quieren no es humor xd",Non Support,No,No
1173,"Yo soy Megaetero, Like si tú también",Non Support,No,No
2046,Orgullo el día de la mujer XD,Non Support,No,No
1618,yo soy bisexual y sali delcloset,Non Support,No,No
1124,Bisexual pero también cisgenero,Non Support,No,No
1461,"A mí no me vengan con mamadas porque los géneros son para la música, no para los humanos",Non Support,No,No
2489,"Hagan un video sobre la Asexualidad y el Arromantisismo 
:b",Non Support,No,No
2271,Desde cuando los fetiches se celebran? Cuando es el mes de las patas entonces? 😂😂😂😂😂😂,Non Support,No,No
1913,Que pena de un buen yotuber,Non Support,No,No
2765,"solo estoy aquí por mi clase de religión, pero que basura de video.",Non Support,No,No
2755,"Yo cada vez me educo y creo mas en la doctrina de mi catolicismo. Además porque en ella esta mi Virgen Madre María la mujer que escogió Dios para ser su madre, nuestra intercesora. No saben lo que se pierden quien no creen en ella y su mediación. GLORIA A DIOS !!!",Support,Group,Religion
1407,tambien soy sapiosexual,Non Support,No,No
1513,yo soy homosexual,Non Support,No,No
