id,text,task1,task2,task3
6095,first happened everyone hating lockdown protests pandemic people allowed riot pandemic second people stupid know literally almost everyone including police officers country support happened george floyd also black lives matter stupid movement really freedoms limited comes protesting,Non-Supportive,No,No
9467,fixed chocolate dfly wreck october cytomorphologically fear pace whimsical john offbeat loutish bench,Non-Supportive,No,No
4369,expect happen jump moving car,Non-Supportive,No,No
8737,muslimemerdear please try get authentic islamic knowledge surprised islam indeed religion peace try reading seerah prophet muhammad saw ar raheeq al makhtoum may allah swt guide us allameeeeen,Non-Supportive,No,No
6193,go back africa blm always said nobody ever says white lives matter lives matter also blm becoming hate group saying kill whites leave us alone,Non-Supportive,No,No
1338,wrong people dying bombings massacre yet people still take israel side war,Non-Supportive,No,No
9980,nothing silly american tax payers say pay politicians seats run usa think usa extension israel usa nation good lot fortune companies say goes way around dole monies politicians whatever want fact money influences us politicians whatever want really usa works cash cow us every nation jealous,Non-Supportive,No,No
6582,black people muslims jewish people catholics irish people forgeiners women poor people deal discrimination hate fight discrimination much understand black lives matter movement glad people making stand way gon na change things winning hearts minds people instead seems divide conquer mentallity fault appears way certain people racisim equal rights suffer,Supportive,Group,Black Community
9787,people refer friend really referring like totally obvious women end thinks clever smart congratulations found female hypergamy experiencing first hand really needs based asian mom scream left woman last orange basket,Non-Supportive,No,No
3129,one talks hindu buddhist sikh jain genocide muslim countries,Non-Supportive,No,No
9299,hate someone people thinking arabian bad people jerusslem capital city palestine stop signround pushpin greating morocco red heart,Non-Supportive,No,No
2513,pray palestine love palestine love love much smiling face hearteyessmiling face hearteyessmiling face hearteyessmiling face hearteyesloudly crying faceloudly crying face indonesia,Supportive,Group,Nation
2882,well strong independent help face life alone death bed sure thinking glad nobody least strong independent teach men,Non-Supportive,No,No
9026,hope start winning trades help claim pls,Non-Supportive,No,No
3467,hamas doesnt anything hamas takes food water give palestinians palestinians israeli hostages safe bunkers dont die stop talking lies,Non-Supportive,No,No
564,sing along miley buy flowers write name sand talk hours,Non-Supportive,No,No
7000,slavery invented africa africans sold black slaves conquered black people 999 black slaves never left continent 5000 years human slave trade made black nations wealthy word slave stands slav slavic black muslims enslaved white slavic people 1000 years white people bought black slaves black slave traders ouch truth hurts,Non-Supportive,No,No
8097,sad palestine always support pray indonesia two hearts,Supportive,Group,Nation
9512,hey mohan yrs old ask job help parent live happier life pensive face would please help,Non-Supportive,No,No
3043,subhanallah could n see face thought whoever share video helped cry helped get trauma thank people hurt pain pain small big good bad pain pain please stop live forever live let live,Non-Supportive,No,No
8920,soo sorry sooo happy golden buzzer crying,Non-Supportive,No,No
4507,cant victim aggressor time,Non-Supportive,No,No
4215,shit like makes realize many genuinely crazy people world,Non-Supportive,No,No
116,starting lost hope especially pandemic ang hirap ng buhay,Non-Supportive,No,No
469,crazy trying use reverse psychology dismiss evil done innocent israeli people shit work non people know better understand evil operates obfuscate atrocities garner sympathy lack basics humanity form covert evil operation,Supportive,Group,Nation
2254,almost year ago feeling lost lost give video suddenly popped gave hope never giving taught life plans today whole year felt video popped oit nowhere guess someone said right things happen twice life remind path,Non-Supportive,No,No
